support,itemsets,length
0.3926829268292683,frozenset({'fatigue'}),1
0.38902439024390245,frozenset({'vomiting'}),1
0.27682926829268295,frozenset({'high fever'}),1
0.23414634146341465,frozenset({'loss of appetite'}),1
0.2329268292682927,frozenset({'nausea'}),1
0.2304878048780488,frozenset({'headache'}),1
0.2097560975609756,frozenset({'abdominal pain'}),1
0.19878048780487806,"frozenset({'high fever', 'fatigue'})",2
0.19878048780487806,"frozenset({'nausea', 'vomiting'})",2
0.18536585365853658,frozenset({'yellowish skin'}),1
0.17682926829268292,"frozenset({'vomiting', 'abdominal pain'})",2
0.16585365853658537,frozenset({'yellowing of eyes'}),1
0.16219512195121952,frozenset({'chills'}),1
0.1597560975609756,"frozenset({'yellowing of eyes', 'loss of appetite'})",2
0.1597560975609756,frozenset({'skin rash'}),1
0.1573170731707317,"frozenset({'fatigue', 'loss of appetite'})",2
0.15609756097560976,"frozenset({'vomiting', 'loss of appetite'})",2
0.1548780487804878,"frozenset({'yellowish skin', 'abdominal pain'})",2
0.1548780487804878,"frozenset({'fatigue', 'vomiting'})",2
0.14268292682926828,frozenset({'malaise'}),1
0.14146341463414633,frozenset({'chest pain'}),1
0.13902439024390245,frozenset({'joint pain'}),1
0.1378048780487805,frozenset({'itching'}),1
0.1378048780487805,frozenset({'sweating'}),1
0.1353658536585366,"frozenset({'nausea', 'loss of appetite'})",2
0.1353658536585366,"frozenset({'malaise', 'fatigue'})",2
0.13414634146341464,"frozenset({'yellowish skin', 'yellowing of eyes'})",2
0.13414634146341464,"frozenset({'chills', 'high fever'})",2
0.13414634146341464,"frozenset({'nausea', 'fatigue'})",2
0.1329268292682927,"frozenset({'abdominal pain', 'loss of appetite'})",2
0.1329268292682927,"frozenset({'high fever', 'vomiting'})",2
0.1329268292682927,"frozenset({'yellowish skin', 'loss of appetite'})",2
0.13170731707317074,"frozenset({'yellowish skin', 'vomiting'})",2
0.13048780487804879,"frozenset({'headache', 'vomiting'})",2
0.12804878048780488,"frozenset({'yellowish skin', 'yellowing of eyes', 'loss of appetite'})",3
0.12560975609756098,"frozenset({'vomiting', 'yellowish skin', 'abdominal pain'})",3
0.11585365853658537,frozenset({'dark urine'}),1
0.11463414634146342,frozenset({'diarrhoea'}),1
